p:alpha,p:batch_size,p:coord_feat,p:latent_ch,p:lift_act,p:lr,p:num_FNO,p:num_modes,p:num_projs,p:optimizer,p:padding,p:padding_type,p:proj_act,p:proj_size,p:weight_decay,objective_0,objective_1,job_id,m:timestamp_submit,m:timestamp_gather,m:timestamp_start,m:timestamp_end,m:TrainLoss,m:valLoss,m:ValR2,m:testLoss,m:testRollout
0.7283294738918797,196,False,20,selu,0.0005305406637582632,18,12,5,RMSprop,2,circular,prelu,31,0.040350345006569,-0.07301084697246552,-5.2510272e-06,105,0.08498430252075195,183.16222476959229,1709343172.282895,1709343355.1031544,[0.06760034834345181],[0.07301084697246552],"[-13064.5224609375, -0.06538927555084229, -1.0520908832550049, -2.4539530277252197, -0.40882015228271484]",0.0731053426861763,3.0123e-06
0.03298132178796243,183,True,14,sigmoid,0.00019268453211577762,22,3,4,Adam,11,constant,hardtanh,3,0.09628365383756395,-0.1494847536087036,1.3624485e-07,65,0.08437252044677734,183.50178956985474,1709343172.2832866,1709343355.1694775,[0.005865648109465838],[0.1494847536087036],"[-426616.46875, -2.1115939617156982, -2.860295295715332, -7.5451812744140625, -1.2636282444000244]",0.1496964693069458,3.5340206e-10
0.38296693553579664,226,True,7,squareplus,9.816049871709293e-06,27,12,10,SGD,6,constant,softsign,24,0.01660458548840226,-0.11736667156219482,2.0784917e-07,170,0.08596253395080566,183.5018048286438,1709343172.2877538,1709343355.3618994,[0.044657445047050714],[0.11736667156219482],"[-3594.593505859375, -1.7174115180969238, -2.452702760696411, -0.11838507652282715, -0.3201022148132324]",0.11750765144824982,-4.4207917e-09
0.5886167840542138,131,False,9,relu6,1.9834942769895927e-05,16,29,15,SGD,11,circular,threshold,22,0.02569117879225146,-2.6211342811584473,2.8983823e-07,98,0.08488130569458008,184.29428911209106,1709343172.283659,1709343356.2363307,[1.554842472076416],[2.6211342811584473],"[-44611.984375, -471.6618347167969, -39.06968307495117, -221.63026428222656, -323.4352111816406]",2.622344732284546,-1.8184235e-10
0.13676155762886313,168,True,18,softshrink,0.0011720614775851406,20,21,12,RMSprop,12,constant,silu,9,0.03346762079352526,-0.08926070481538773,2.2237293e-07,263,0.08731603622436523,184.56423902511597,1709343172.2857215,1709343356.3677025,[0.013414511795748364],[0.08926070481538773],"[-1782.5264892578125, -0.03200066089630127, -1.6724839210510254, -0.0020494461059570312, -0.000988602638244629]",0.0893893763422966,-1.578824e-09
0.9805954715300965,96,True,52,elu,7.837685637297866e-06,5,19,4,SGD,13,replicate,relu,24,0.024117326888867002,-0.11412172764539719,-0.008109452,39,0.08397221565246582,185.77090668678284,1709343172.2810686,1709343357.7117348,[0.11127733086284838],[0.11412172764539719],"[-1018.7916870117188, -1.0394682884216309, -2.401034116744995, -0.0002111196517944336, 0.0011590123176574707]",0.11423470824956894,0.0022524628
0.9858965732169198,82,True,41,softplus,1.8490586532896394e-06,6,17,14,Adadelta,16,constant,prelu,19,0.0868044943188401,-0.11776001006364822,-9.162236e-05,37,0.08394098281860352,187.9221851825714,1709343172.2801323,1709343359.8629065,[0.11521190506490794],[0.11776001006364822],"[-10.271965980529785, -0.6197630167007446, -2.5356976985931396, -0.018897175788879395, -1.8358230590820312e-05]",0.11791475117206573,-6.9870686e-05
0.5518088744413463,169,True,4,logsigmoid,0.00036669126166826577,27,17,14,Adagrad,7,constant,tanhshrink,27,0.0026214516950391013,-0.11697012186050415,2.1285226e-07,305,0.0879366397857666,188.21305656433105,1709343172.2869012,1709343359.9843037,[0.06419968469576402],[0.11697012186050415],"[-0.38291478157043457, -0.6186333894729614, -2.511502742767334, -0.006313323974609375, 0.0]",0.11712382733821869,-2.0992768e-09
0.7622299232764296,246,False,18,logsigmoid,1.543746668918898e-05,17,17,6,Adam,9,reflect,prelu,13,0.08955918409988223,-0.10320103168487549,2.1945236e-07,360,0.08876252174377441,188.69454145431519,1709343172.270853,1709343360.6356587,[0.07831075880676508],[0.10320103168487549],"[-46792.7265625, -0.05835831165313721, -2.0619728565216064, -0.2517455816268921, -0.22143018245697021]",0.10334821790456772,-5.525289e-09
0.023908953946652274,161,False,61,gelu,1.1019883849356838e-05,4,13,13,Adagrad,16,constant,silu,31,0.08137808187880441,-0.11750806868076324,0.00025149123,38,0.08395671844482422,191.710919380188,1709343172.2801628,1709343363.651845,[0.0027300209992311216],[0.11750806868076324],"[-0.07204091548919678, -0.652369499206543, -2.5265157222747803, -0.010261178016662598, -6.556510925292969e-06]",0.1176619604229927,5.015689e-05
